date,winner,loser
2024-02-08,Nemiga,Sashi
2024-02-08,FORZE,BetBoom
2024-02-08,Insilio,ex-Guild Eagles
2024-02-08,AMKAL,RUBY
2024-02-09,Falcons,ENCE
2024-02-09,Nemiga,AMKAL
2024-02-09,FORZE,RUBY
2024-02-09,ex-Preasy,Gaimin Gladiators
2024-02-09,FaZe,G2
2024-02-09,True Rippers,Marcos
2024-02-09,3DMAX,fnatic
2024-02-09,3DMAX,Endpoint
2024-02-09,fnatic,Endpoint
2024-02-09,ex-Sprout,fnatic
2024-02-09,Sashi,FORZE
2024-02-09,Sashi,Insilio
2024-02-09,ex-Sprout,3DMAX
2024-02-10,Sampi,Zero Tenacity
2024-02-10,Apeks,Metizport
2024-02-10,Spirit,Falcons
2024-02-10,Secret,500
2024-02-10,The Chosen Few,ex-Anonymo
2024-02-10,FaZe,MOUZ
2024-02-10,Apeks,ex-Anonymo
2024-02-10,Metizport,FURIA
2024-02-10,Sashi,AMKAL
2024-02-10,FURIA,ex-Anonymo
2024-02-10,Nemiga,Sashi
2024-02-11,Marcos,True Rippers
2024-02-11,Metizport,ex-Sprout
2024-02-11,Metizport,Apeks
2024-02-11,Spirit,FaZe
2024-02-11,Apeks,3DMAX
2024-02-11,Sashi,ARCRED
2024-02-11,Young Ninjas,Portugal
2024-02-11,ALTERNATE aTTaX,Entropiq
2024-02-12,Sharks,Solid
2024-02-12,9z,LA RUGONETA
2024-02-12,BESTIA,FURIA Academy
2024-02-12,Fluxo,Flamengo
2024-02-12,Case,Dusty Roots
2024-02-12,Galorys,inSanitY
2024-02-12,W7M,Corinthians
2024-02-13,W7M,Corinthians
2024-02-13,KZG,RKON
2024-02-13,Case,Galorys
2024-02-13,adalYamigos,Solid
2024-02-13,Take Flyte,Phoenix
2024-02-13,Flamengo,9z Academy
2024-02-13,DXA,MAKING HISTORY
2024-02-13,DXA,Underground
2024-02-13,Carpe Diem,FLUFFY AIMERS
2024-02-13,Imperial,RED Canids
2024-02-13,adalYamigos,inSanitY
2024-02-13,Nouns fe,COVEN
2024-02-13,Mythic,Elevate
2024-02-13,Imperial,Solid
2024-02-13,Case,W7M
2024-02-13,Mindfreak,DEMESIS
2024-02-14,Mythic,FLUFFY AIMERS
2024-02-14,Sharks,Hype
2024-02-14,Sharks,Galorys
2024-02-14,W7M,Hawks
2024-02-14,FaZe,Falcons
2024-02-14,Virtus.pro,SAW
2024-02-14,KZG,Vantage
2024-02-14,BetBoom,Into the Breach
2024-02-14,fnatic,BetBoom
2024-02-14,9z,2GAME
2024-02-14,Imperial,Yawara
2024-02-14,9 Pandas,SAW
2024-02-14,AMKAL,Ninjas in Pyjamas
2024-02-14,Enterprise,AMKAL
2024-02-14,ENCE Athena,more whiskey
2024-02-14,GR,ZEUS
2024-02-14,Eternal Fire,Ninjas in Pyjamas
2024-02-14,adalYamigos,Corinthians
2024-02-14,Astralis W,Spirit fe
2024-02-14,Natus Vincere,KOI
2024-02-14,Virtus.pro,fnatic
2024-02-14,sunday school,DXA
2024-02-14,Falcons,3DMAX
2024-02-14,Fluxo,Intense
2024-02-14,Carpe Diem,Rocket
2024-02-14,KOI,3DMAX
2024-02-14,FaZe,9 Pandas
2024-02-14,Natus Vincere,Enterprise
2024-02-14,KZG,Mindfreak
2024-02-14,Case,O PLANO C
2024-02-14,G2,Eternal Fire
2024-02-14,Solid,Galorys
2024-02-14,KRÜ,O PLANO
2024-02-14,Solid,Corinthians
2024-02-14,G2,Into the Breach
2024-02-15,KOI,9 Pandas
2024-02-15,3DMAX,Into the Breach
2024-02-15,KZG,sunday school
2024-02-15,9z,Case
2024-02-15,Case,Sharks
2024-02-15,Galorys,9z Academy
2024-02-15,OMiT,Limitless
2024-02-15,G2,FaZe
2024-02-15,Imperial,9z
2024-02-15,GR,The Huns
2024-02-15,SAW,Ninjas in Pyjamas
2024-02-15,Imperial,Fluxo
2024-02-15,Fluxo,Sharks
2024-02-15,Case,Flamengo
2024-02-15,Imperial,Solid
2024-02-15,9z,KRÜ
2024-02-15,Vantage,DXA
2024-02-15,Eternal Fire,Falcons
2024-02-15,BetBoom,Enterprise
2024-02-15,Virtus.pro,Natus Vincere
2024-02-15,fnatic,AMKAL
2024-02-15,Fluxo,W7M
2024-02-16,LA RUGONETA,Flamengo
2024-02-16,9 Pandas,3DMAX
2024-02-16,B8,PERA
2024-02-16,B8,500
2024-02-16,AMKAL,Falcons
2024-02-16,sunday school,Vantage
2024-02-16,FlyQuest,GR
2024-02-16,Imperial,Galorys
2024-02-16,Galorys,Flamengo
2024-02-16,Natus Vincere,BetBoom
2024-02-16,Arcade,LYG
2024-02-16,SAW,Enterprise
2024-02-16,Sharks,W7M
2024-02-16,FaZe,Eternal Fire
2024-02-16,Rocket,MIGHT
2024-02-16,FURIA Academy,Dusty Roots
2024-02-16,FLUFFY AIMERS,LAG
2024-02-16,Case,BESTIA
2024-02-16,Mythic,E-Xolos LAZER
2024-02-16,Mythic,FLUFFY AIMERS
2024-02-16,VexX,LYG
2024-02-16,Newhappy,GR
2024-02-16,Fluxo,9z
2024-02-16,KOI,fnatic
2024-02-16,sunday school,KZG
2024-02-16,Lynn Vision,MAG
2024-02-16,SINNERS,PERA
2024-02-16,SINNERS,500
2024-02-16,Solid,W7M
2024-02-16,Lynn Vision,Newhappy
2024-02-16,MAG,GR
2024-02-17,Imperial,adalYamigos
2024-02-17,W7M,Sharks
2024-02-17,Galorys,Sharks
2024-02-17,Aurora,kONO
2024-02-17,Monte,Aurora
2024-02-17,Newhappy,Lynn Vision
2024-02-17,Galorys,Corinthians
2024-02-17,SAW,fnatic
2024-02-17,Case,Solid
2024-02-17,Monte,The Chosen Few
2024-02-17,Sampi,Secret
2024-02-17,FlyQuest,Arcade
2024-02-17,Entropiq,The Chosen Few
2024-02-17,Eternal Fire,BetBoom
2024-02-17,AMKAL,9 Pandas
2024-02-17,FlyQuest,VexX
2024-02-17,Sashi,Zero Tenacity
2024-02-17,Solid,inSanitY
2024-02-17,kONO,The Chosen Few
2024-02-18,Aurora,B8
2024-02-18,Vantage,LE-LUX
2024-02-18,Astralis W,dream catchers fe
2024-02-18,Arcade,KZG
2024-02-18,Sangal,500
2024-02-18,Galorys,Case
2024-02-18,Monte,Aurora
2024-02-18,FlyQuest,MANTRA
2024-02-18,Solid,adalYamigos
2024-02-18,FlyQuest,Arcade
2024-02-18,FlyQuest,VexX
2024-02-18,Crescent fe,dream catchers fe
2024-02-18,Young Ninjas,ALTERNATE aTTaX
2024-02-18,Spirit fe,Astralis W
2024-02-18,VexX,KZG
2024-02-18,Mindfreak,gfg123321
2024-02-18,LA RUGONETA,9z
2024-02-18,Monte,SINNERS
2024-02-18,brazylijski luz,ARCRED
2024-02-18,Alliance,Portugal
2024-02-18,Mindfreak,Vantage
2024-02-18,BESTIA,FURIA Academy
2024-02-18,Sharks,Galorys
2024-02-19,Vitality,GamerLegion
2024-02-19,NAVI Junior,Viperio
2024-02-19,Apeks,OG
2024-02-19,Sharks,Solid
2024-02-19,Party Astronauts,Akimbo
2024-02-19,MOUZ,ex-Guild Eagles
2024-02-19,Monte,Nexus
2024-02-19,Spirit,Astralis
2024-02-19,Gaimin Gladiators,Monte
2024-02-19,Spirit,ENCE
2024-02-19,FlyQuest,Mindfreak
2024-02-19,OG,ex-Preasy
2024-02-19,Cloud9,Apeks
2024-02-19,Vitality,HEROIC
2024-02-19,Cloud9,ex-PERA
2024-02-19,Permitta,ECLOT
2024-02-19,GamerLegion,ex-PERA
2024-02-19,NRG,Party Astronauts
2024-02-19,NRG,Mythic
2024-02-19,MOUZ,Gaimin Gladiators
2024-02-19,GamerLegion,PERA
2024-02-19,Astralis,Nexus
2024-02-19,Cloud9,PERA
2024-02-19,HEROIC,ex-Preasy
2024-02-19,Mythic,Akimbo
2024-02-19,ENCE,ex-Guild Eagles
2024-02-20,ECLOT,NAVI Junior
2024-02-20,Cloud9,Vitality
2024-02-20,Arcade,gfg123321
2024-02-20,Vantage,Blitz
2024-02-20,Party Astronauts,Mythic
2024-02-20,MOUZ,Spirit
2024-02-20,Gaimin Gladiators,OG
2024-02-20,Vantage,Mindfreak
2024-02-20,Cringexe,KZG
2024-02-20,ex-Guild Eagles,Nexus
2024-02-20,VexX,gfg123321
2024-02-20,Solid,Fluxo
2024-02-20,ex-Preasy,PERA
2024-02-20,VexX,Cringexe
2024-02-20,9z,Solid
2024-02-20,9z,Case
2024-02-20,Mindfreak,RKON
2024-02-20,9z,Salao do Corte
2024-02-20,Party Astronauts,NRG
2024-02-20,ENCE,GamerLegion
2024-02-20,Apeks,Monte
2024-02-20,HEROIC,Astralis
2024-02-20,Flamengo,Sharks
2024-02-20,ex-Preasy,ex-PERA
2024-02-20,Sharks,Case
2024-02-20,Solid,Flamengo
2024-02-20,Arcade,Cringexe
2024-02-20,Case,W7M
2024-02-21,Vitality,ENCE
2024-02-21,ECLOT,Permitta
2024-02-21,Sharks,Case
2024-02-21,Sharks,Corinthians
2024-02-21,BESTIA,W7M
2024-02-21,FlyQuest,Bad News Kangaroos
2024-02-21,Fluxo,Solid
2024-02-21,W7M,Fluxo
2024-02-21,Astralis,Monte
2024-02-21,Apeks,Gaimin Gladiators
2024-02-21,Rooster,Vantage
2024-02-21,Case,Solid
2024-02-21,ex-Guild Eagles,ex-Preasy
2024-02-21,Vantage,Arcade
2024-02-21,Rooster,DXA
2024-02-21,Imperial,2GAME
2024-02-21,Spirit,HEROIC
2024-02-21,Mindfreak,KZG
2024-02-21,MOUZ,Entropiq
2024-02-21,adalYamigos,Galorys
2024-02-21,Vantage,VexX
2024-02-21,GamerLegion,OG
2024-02-21,Sashi,Sampi
2024-02-21,RKON,Canon Event
2024-02-21,Imperial,LA RUGONETA
2024-02-21,Sharks,Galorys
2024-02-22,Rooster,Bad News Kangaroos
2024-02-22,Party Astronauts,NRG
2024-02-22,Bad News Kangaroos,Vantage
2024-02-22,FURIA,9z
2024-02-22,MIGHT,Phoenix
2024-02-22,Galorys,MIBR Academy
2024-02-22,HEROIC,GamerLegion
2024-02-22,ENCE,Astralis
2024-02-22,Permitta,PGE Turow
2024-02-22,ECLOT,BIG Academy
2024-02-22,Party Astronauts,Take Flyte
2024-02-22,NRG,Wildcard
2024-02-22,Liquid,ex-CatEvil
2024-02-22,Liquid,MIGHT
2024-02-22,Liquid,Party Astronauts
2024-02-22,Gaimin Gladiators,ex-Guild Eagles
2024-02-22,BESTIA,Imperial
2024-02-22,FURIA,Imperial
2024-02-22,FlyQuest,Rooster
2024-02-22,9z,BESTIA
2024-02-23,ex-Guild Eagles,BetBoom
2024-02-23,Corinthians,Galorys
2024-02-23,9z,FURIA
2024-02-23,Sampi,Entropiq
2024-02-23,GamerLegion,fnatic
2024-02-23,9 Pandas,Astralis
2024-02-23,9z,BESTIA
2024-02-23,FlyQuest,Rooster
2024-02-24,Case,2GAME
2024-02-24,Permitta,ECLOT
2024-02-24,Latvia,kloogarand
2024-02-24,Latvia,hypewrld
2024-02-24,Let Her Cook,Nemesis fe
2024-02-24,Imperial,BESTIA
2024-02-24,Fluxo,Sharks
2024-02-24,Fraud5,The Neighbours
2024-02-24,9 Pandas,GamerLegion
2024-02-24,ENCE Academy,ex-sYnck
2024-02-24,ENCE Academy,HAVU
2024-02-24,500,Portugal
2024-02-24,ENCE Athena,Spirit fe
2024-02-24,MOUZ,Sashi
2024-02-24,Wildcard,NRG
2024-02-24,Wildcard,Party Astronauts
2024-02-24,Wildcard,Akimbo
2024-02-24,NRG,Limitless
2024-02-24,NRG,Mythic
2024-02-24,Sharks,Galorys
2024-02-24,BIG EQUIPA,Astralis W
2024-02-24,Party Astronauts,Bluekillers
2024-02-24,HAVU,Rounds
2024-02-24,Limitless,LAG
2024-02-24,Gods Reign,2ez
2024-02-24,brazylijski luz,The Chosen Few
2024-02-24,GamerLegion,ex-Guild Eagles
2024-02-24,NAVI Javelins,Crescent fe
2024-02-24,Party Astronauts,ex-CatEvil
2024-02-24,W7M,Corinthians
2024-02-25,Entropiq,Secret
2024-02-25,Fluxo,Imperial
2024-02-25,The Neighbours,Fraud5
2024-02-25,The MongolZ,MAG
2024-02-25,Lynn Vision,Twisted Minds
2024-02-25,FlyQuest,ATOX
2024-02-25,Fearless Cheetahs,1WIN Gang
2024-02-25,The MongolZ,FlyQuest
2024-02-25,Nouns,BOSS
2024-02-25,TYLOO,JiJieHao
2024-02-25,Sangal,Sashi
2024-02-25,ECLOT,Sampi
2024-02-25,Gods Reign,Grayfox
2024-02-25,FlyQuest RED,TSM Shimmer
2024-02-25,BIG EQUIPA,Let Her Cook
2024-02-25,NAVI Javelins,BIG EQUIPA
2024-02-25,Alliance,ALTERNATE aTTaX
2024-02-25,NAVI Javelins,ENCE Athena
2024-02-25,PGE Turow,Sashi
2024-02-25,BOSS,Wildcard
2024-02-25,Nouns,Liquid
2024-02-25,Liquid,Wildcard
2024-02-26,System5,ex-PERA
2024-02-26,ATOX,MAG
2024-02-26,ALTERNATE aTTaX,Endpoint
2024-02-26,SAW,RUSH B
2024-02-26,MOUZ,BLEED
2024-02-26,Lynn Vision,TYLOO
2024-02-26,System5,Qiang
2024-02-26,System5,PERA
2024-02-26,500,Imperial fe
2024-02-26,Liquid,Nouns
2024-02-26,Liquid,BOSS
2024-02-26,Entropiq,9INE
2024-02-26,ECLOT,PGE Turow
2024-02-27,V1dar,Sashi
2024-02-27,Sangal,9INE
2024-02-27,NewBALLS,Sashi
2024-02-27,Spirit Academy,brazylijski luz
2024-02-27,Croatia,AURA
2024-02-27,Permitta,Sprout
2024-02-27,ECLOT,MOUZ
2024-02-27,RUBY,ALTERNATE aTTaX
2024-02-27,ECLOT,ex-sYnck
2024-02-27,ATOX,TYLOO
2024-02-27,kONO,DMS
2024-02-27,Spirit Academy,RUBY
2024-02-27,Croatia,ex-Guild Eagles
2024-02-27,Vantage,RKON
2024-02-27,VexX,Canon Event
2024-02-27,FORZE,ARCRED
2024-02-27,The MongolZ,Lynn Vision
2024-02-27,FORZE,NewBALLS
2024-02-27,FORZE,V1dar
2024-02-27,ex-Guild Eagles,Metizport
2024-02-27,kONO,INGLORIOUS
2024-02-27,kONO,AURA
2024-02-27,Arcade,Canon Event
2024-02-27,DMS,B8
2024-02-27,FlyQuest,ATOX
2024-02-27,FlyQuest,JiJieHao
2024-02-28,Lynn Vision,FlyQuest
2024-02-28,Young Ninjas,AMKAL
2024-02-28,Alliance,Sangal
2024-02-28,FORZE,Aurora
2024-02-28,BetBoom,ALTERNATE aTTaX
2024-02-28,9 Pandas,Spirit Academy
2024-02-28,BLEED,BIG
2024-02-28,9 Pandas,Croatia
2024-02-28,Aurora,kONO
2024-02-28,ECLOT,Permitta
2024-02-28,Metizport,INGLORIOUS
2024-02-28,Spirit Academy,HAVU
2024-02-28,ex-Preasy,fnatic
2024-02-28,Sashi,Sampi
2024-02-28,FORZE,KOI
2024-02-28,KOI,kONO
2024-02-28,Secret,Permitta
2024-02-29,FORZE,9 Pandas
2024-02-29,Monte,PARIVISION
2024-02-29,KOI,HAVU
2024-02-29,Aurora,HAVU
2024-02-29,Aurora,Spirit Academy
2024-02-29,Rebels,Sangal
2024-02-29,Zero Tenacity,Young Ninjas
2024-02-29,Metizport,Endpoint
2024-02-29,Sashi,JANO
2024-02-29,3DMAX,Gaimin Gladiators
2024-02-29,Aurora,KOI
2024-02-29,BLEED,AURA
2024-03-01,Aurora,9 Pandas
2024-03-01,fnatic,ALTERNATE aTTaX
2024-03-01,RED Canids,Wildcard
2024-03-01,Aurora,FORZE
2024-03-01,ECLOT,Viperio
2024-03-01,paiN,Legacy
2024-03-01,9INE,Alliance
2024-03-01,BetBoom,ex-Preasy
2024-03-01,Complexity,Elevate
2024-03-01,M80,ODDIK
2024-03-01,BLEED,Young Ninjas
2024-03-01,BOSS,MIBR
2024-03-01,Imperial,NRG
2024-03-01,Liquid,BESTIA
2024-03-01,BIG,AMKAL
2024-03-01,FURIA,Nouns
2024-03-02,Zero Tenacity,Secret
2024-03-02,Rhyno,AL QATRAO
2024-03-02,Gaimin Gladiators,PARIVISION
2024-03-02,FURIA,Liquid
2024-03-02,MOUZ,kONO
2024-03-02,Sashi,brazylijski luz
2024-03-02,Permitta,AURA
2024-03-02,3DMAX,Monte
2024-03-02,Legacy,Nouns
2024-03-02,Complexity,BOSS
2024-03-02,Aurora,Rebels
2024-03-02,Imperial,M80
2024-03-02,Sangal,HAVU
2024-03-02,Wildcard,BESTIA
2024-03-02,MIBR,NRG
2024-03-02,Portugal,OVERFRAG
2024-03-02,paiN,RED Canids
2024-03-02,ODDIK,Elevate
2024-03-02,500,ALTERNATE aTTaX
2024-03-02,Enterprise,Sampi
2024-03-03,ex-Preasy,BetBoom
2024-03-03,BetBoom,ex-Sprout
2024-03-03,Imperial,paiN
2024-03-03,ODDIK,RED Canids
2024-03-03,ex-Preasy,kONO
2024-03-03,Gaimin Gladiators,SINNERS
2024-03-03,The Chosen Few,TSM
2024-03-03,MOUZ,ex-Preasy
2024-03-03,Zero Tenacity,Secret
2024-03-03,Metizport,The Chosen Few
2024-03-03,Liquid,BOSS
2024-03-03,FURIA,Complexity
2024-03-03,The Chosen Few,KOI
2024-03-03,M80,Wildcard
2024-03-03,Rebels,Sangal
2024-03-03,Legacy,MIBR
2024-03-03,ex-Preasy,Gaimin Gladiators
2024-03-03,Young Ninjas,BIG
2024-03-03,ECLOT,Metizport
2024-03-03,FlyQuest RED,TSM Shimmer
2024-03-03,BIG EQUIPA,dream catchers fe
2024-03-03,fnatic,ex-Preasy
2024-03-03,fnatic,AURA
2024-03-03,Gaimin Gladiators,fnatic
2024-03-03,Metizport,ILIN
2024-03-03,Metizport,RUSH B
2024-03-03,TSM,Nexus
2024-03-03,Portugal,Rhyno
2024-03-03,Gaimin Gladiators,Monte
2024-03-04,Endpoint,JANO
2024-03-04,BetBoom,Gaimin Gladiators
2024-03-04,Young Ninjas,Aurora
2024-03-04,Sangal,Sampi
2024-03-04,Legacy,M80
2024-03-04,Fluxo,Case
2024-03-04,Entropiq,Sashi
2024-03-04,Passion UA,ALTERNATE aTTaX
2024-03-04,BLEED,Rebels
2024-03-04,BLEED,AURA
2024-03-04,paiN,ODDIK
2024-03-04,fnatic,3DMAX
2024-03-04,Fraud5,Secret
2024-03-04,Complexity,Liquid
2024-03-05,KOI,ex-Sprout
2024-03-05,LAG,Take Flyte
2024-03-05,fnatic,Young Ninjas
2024-03-05,B8,Passion UA
2024-03-05,B8,UGANDA
2024-03-05,ARCRED,1WIN
2024-03-05,FORZE,3DMAX
2024-03-05,500,Entropiq
2024-03-05,KOI,Nemiga
2024-03-05,Nemiga,GUN5
2024-03-05,BLEED,BetBoom
2024-03-05,Sharks,Solid
2024-03-05,MIGHT,Mythic
2024-03-05,AMKAL,Zero Tenacity
2024-03-05,FORZE,AMKAL
2024-03-05,ECLOT,9INE
2024-03-05,adalYamigos,Case
2024-03-05,SAW,Monte
2024-03-05,Insilio,Betera
2024-03-05,Endpoint,AURA
2024-03-05,B8,Johnny Speeds
2024-03-05,Johnny Speeds,Insilio
2024-03-05,Johnny Speeds,Sashi
2024-03-05,2GAME,W7M
2024-03-05,KOI,FORZE
2024-03-05,VP.Prodigy,FORZE YNG
2024-03-05,Permitta,Young Ninjas
2024-03-05,ALTERNATE aTTaX,Sashi
2024-03-05,Alliance,Viperio
2024-03-06,Arcade,KZG
2024-03-06,PARIVISION,Apeks
2024-03-06,Nouns fe,WG Bandits
2024-03-06,Zero Tenacity,AURA
2024-03-06,Solid,Fluxo
2024-03-06,FlyQuest RED,TSM Shimmer
2024-03-06,Sangal,TSM
2024-03-06,Cloud9,Rare Atom
2024-03-06,Permitta,Enterprise
2024-03-06,ALTERNATE aTTaX,brazylijski luz
2024-03-06,BIG EQUIPA,Astralis W
2024-03-06,Sashi,Alliance
2024-03-06,Carpe Diem,Limitless
2024-03-06,Insilio,The Chosen Few
2024-03-06,INGLORIOUS,Enterprise
2024-03-06,NAVI Javelins,Fearless Cheetahs
2024-03-06,fnatic,BLEED
2024-03-06,HEROIC,Young Ninjas
2024-03-06,Bad News Kangaroos,Vantage
2024-03-06,Endpoint,NewBALLS
2024-03-06,VexX,KZG
2024-03-06,FlyQuest,DXA
2024-03-06,LAG,MIGHT
2024-03-06,EYEBALLERS,9INE
2024-03-06,panelinha,Atrix
2024-03-06,Rooster,Mindfreak
2024-03-06,Permitta,Passion UA
2024-03-06,FAVBET,CYBERSHOKE
2024-03-06,Endpoint,V1dar
2024-03-06,Metizport,Falcons
2024-03-06,KOI,9 Pandas
2024-03-06,Passion UA,Fraud5
2024-03-06,Sampi,AURA
2024-03-07,Monte,Imperial
2024-03-07,Alliance,ex-Sprout
2024-03-07,Permitta,kONO
2024-03-07,W7M,Solid
2024-03-07,Apeks,Space
2024-03-07,INGLORIOUS,MOUZ
2024-03-07,Nemiga,Zero Tenacity
2024-03-07,SAW,Liquid
2024-03-07,Case,Fluxo
2024-03-07,Spirit fe,1WIN Gang
2024-03-07,RED Canids,VELOX
2024-03-07,Sharks,Corinthians
2024-03-07,OG,Complexity
2024-03-07,ex-Preasy,Secret
2024-03-07,Passion UA,AURA
2024-03-07,LAG,FLUFFY AIMERS
2024-03-07,Permitta,VP.Prodigy
2024-03-07,Sashi,ex-sYnck
2024-03-07,Sashi,Insilio
2024-03-07,500,Sangal
2024-03-07,Imperial fe,NIP Impact
2024-03-07,Endpoint,kONO
2024-03-08,SAW,Cloud9
2024-03-08,Passion UA,Entropiq
2024-03-08,Nexus,FAVBET
2024-03-08,RUBY,ARCRED
2024-03-08,BIG,GamerLegion
2024-03-08,MOUZ,Fraud5
2024-03-08,Spirit,Elevate
2024-03-08,ALTERNATE aTTaX,Sashi
2024-03-08,Spirit Academy,Passion UA
2024-03-08,BESTIA,FURIA Academy
2024-03-08,PARIVISION,B8
2024-03-08,Galorys,ODDIK
2024-03-08,MIBR,LA RUGONETA
2024-03-08,adalYamigos,Flamengo
2024-03-08,Metizport,Secret
2024-03-08,JANO,INGLORIOUS
2024-03-09,Alliance,BLUDS
2024-03-09,Metizport,Monte
2024-03-09,The Chosen Few,Passion UA
2024-03-09,Zero Tenacity,Sangal
2024-03-09,RED Canids,W7M
2024-03-09,BLUDS,AURA
2024-03-09,kONO,Enterprise
2024-03-09,Sampi,Enterprise
2024-03-09,Case,Sharks
2024-03-09,Alliance,Johnny Speeds
2024-03-09,Insilio,Fraud5
2024-03-09,ex-Preasy,Fraud5
2024-03-09,OG,HEROIC
2024-03-09,Young Ninjas,AURA
2024-03-09,Fluxo,Corinthians
2024-03-09,ARCRED,FORZE YNG
2024-03-09,Alliance,Entropiq
2024-03-09,RUBY,Spirit Academy
2024-03-09,EYEBALLERS,Metizport
2024-03-09,Spirit,BIG
2024-03-09,Nexus,INGLORIOUS
2024-03-09,Metizport,Lemondogs
2024-03-09,NOM,Astralis Talent
2024-03-09,Solid,VELOX
2024-03-09,EYEBALLERS,Onliners5
2024-03-09,Sashi,Permitta
2024-03-09,BLEED,Endpoint
2024-03-10,MIBR,Galorys
2024-03-10,Sampi,Sashi
2024-03-10,FURIA Academy,Flamengo
2024-03-10,AURA,FAVBET
2024-03-10,Young Ninjas,500
2024-03-10,adalYamigos,BESTIA
2024-03-10,Nemiga,Endpoint
2024-03-10,Spirit,Metizport
2024-03-10,1WIN,VP.Prodigy
2024-03-10,LA RUGONETA,ODDIK
2024-03-10,SAW,OG
2024-03-10,ODDIK,Solid
2024-03-10,MOUZ,NewBALLS
2024-03-10,Alliance,EYEBALLERS
2024-03-10,CYBERSHOKE,Zero Tenacity
2024-03-10,Passion UA,MOUZ
2024-03-10,Case,FURIA Academy
2024-03-10,MOUZ,ALTERNATE aTTaX
2024-03-10,MOUZ,V1dar
2024-03-10,Zero Tenacity,ECLOT
2024-03-10,Entropiq,ALTERNATE aTTaX
2024-03-11,Apeks,KOI
2024-03-11,LA RUGONETA,Galorys
2024-03-11,Insilio,1WIN
2024-03-11,MOUZ,NOM
2024-03-11,Metizport,ex-Preasy
2024-03-11,MOUZ,Passion UA
2024-03-11,Nexus,RUBY
2024-03-11,ENCE,Metizport
2024-03-11,BESTIA,FURIA Academy
2024-03-11,Flamengo,MIBR Academy
2024-03-11,Entropiq,ECLOT
2024-03-11,HEROIC,ENCE
2024-03-11,ex-Preasy,Permitta
2024-03-11,brazylijski luz,SINNERS
2024-03-11,B8,KOI
2024-03-11,Virtus.pro,Apeks
2024-03-11,Solid,W7M
2024-03-11,CYBERSHOKE,kONO
2024-03-11,Fluxo,Sharks
2024-03-11,RED Canids,Corinthians
2024-03-11,HEROIC,ex-Preasy
2024-03-11,Virtus.pro,B8
2024-03-11,Nemiga,Sashi
2024-03-12,kONO,JANO
2024-03-12,Solid,adalYamigos
2024-03-12,Metizport,B8
2024-03-12,FURIA Academy,Solid
2024-03-12,Metizport,Apeks
2024-03-12,Nexus,Nemiga
2024-03-12,Phoenix,bubibabu
2024-03-12,Virtus.pro,HEROIC
2024-03-12,Party Astronauts,Elevate
2024-03-12,Endpoint,Secret
2024-03-12,The Chosen Few,ARCRED
2024-03-12,MOUZ,AURA
2024-03-12,Passion UA,Alliance
2024-03-12,Mythic,Wildcard
2024-03-12,B8,ENCE
2024-03-12,Carpe Diem,NRG
2024-03-12,RED Canids,BESTIA
2024-03-12,Fluxo,MIBR
2024-03-12,Sampi,MOUZ
2024-03-12,Case,LA RUGONETA
2024-03-13,ATOX,-72c
2024-03-13,ATOX,ROUX
2024-03-13,Insilio,INGLORIOUS
2024-03-13,HEROIC,Metizport
2024-03-13,RUSH B,Betera
2024-03-13,FlyQuest RED,Karma
2024-03-13,SAW,System5
2024-03-13,Permitta,ECLOT
2024-03-13,TYLOO,padaem Holodnie
2024-03-13,LYG,TYLOO
2024-03-13,ODDIK,Case
2024-03-13,Wildcard,M80
2024-03-13,RKON,KZG
2024-03-13,Sharks,ODDIK
2024-03-13,Revenge Nation,Final Form
2024-03-13,Party Astronauts,Carpe Diem
2024-03-13,KOI,Sangal
2024-03-13,FlyQuest,Rooster
2024-03-13,BLEED,Sashi
2024-03-13,FlyQuest RED,Blue Otter Karma
2024-03-13,Yawara,Case
2024-03-13,Let Her Cook,Crescent fe
2024-03-13,RED Canids,Galorys
2024-03-13,-72c,THE
2024-03-13,Phoenix,Mythic
2024-03-13,MIBR Academy,Corinthians
2024-03-13,ENCE Athena,Astralis W
2024-03-13,MOUZ,Alliance
2024-03-13,PARIVISION,3DMAX
2024-03-13,Monte,ex-PERA
2024-03-13,Monte,PERA
2024-03-13,Monte,Qiang
2024-03-13,DXA,Vantage
2024-03-13,Solid,Fluxo
2024-03-13,RED Canids,Case
2024-03-13,Sharks,Yawara
2024-03-13,Fluxo,Intense
2024-03-13,SINNERS,ALTERNATE aTTaX
2024-03-13,Permitta,MOUZ
2024-03-14,Imperial fe,BIG EQUIPA
2024-03-14,Case,FURIA Academy
2024-03-14,panelinha,W7M fe
2024-03-14,Passion UA,Sampi
2024-03-14,Nouns,M80
2024-03-14,RED Canids,Flamengo
2024-03-14,TSM,EYEBALLERS
2024-03-14,Solid,RED Canids
2024-03-14,The Chosen Few,Endpoint
2024-03-14,ALTERNATE aTTaX,Metizport
2024-03-14,Aurora,Bad News Kangaroos
2024-03-14,MIBR Academy,Flamengo
2024-03-14,TSM Shimmer,Nouns fe
2024-03-14,brazylijski luz,Rebels
2024-03-14,Galorys,W7M
2024-03-14,Wildcard,Phoenix
2024-03-14,ex-sYnck,Young Ninjas
2024-03-14,ex-Preasy,Entropiq
2024-03-14,Gods Reign,GRDX
2024-03-14,NAVI Javelins,1WIN Gang
2024-03-14,Mythic,Take Flyte
2024-03-14,NRG,Limitless
2024-03-14,Fluxo Demons,W7M fe
